dimension_id,maker,model,slug,generation,phase,trim,drive,transmission,length_mm,width_mm,height_mm,weight_kg,structural_check,manufacturer_check,checked_fields,findings,in_git_seed,sources,notes
"4341","トヨタ","ヴォクシー","voxy","90系 (2022-)","現行型","S-Z 2.0L","2WD","CVT","4695","1730","1895","1640","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"4342","トヨタ","ヴォクシー","voxy","90系 (2022-)","現行型","S-Z HV","2WD","CVT","4695","1730","1895","1690","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"4343","トヨタ","ヴォクシー","voxy","90系 (2022-)","現行型","S-Z HV","4WD","CVT","4695","1730","1895","1740","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","誤り確認","あり","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"4344","トヨタ","ヴォクシー","voxy","80系後期 (2017-2021)","前期型","ZS 2.0L","2WD","CVT","4710","1735","1825","1570","基礎整合性検査済み","未照合","","未判定","あり","",""
"4345","トヨタ","ヴォクシー","voxy","80系後期 (2017-2021)","前期型","ZS 2.0L","4WD","CVT","4710","1735","1850","1620","基礎整合性検査済み","未照合","","未判定","あり","",""
"4346","トヨタ","ヴォクシー","voxy","80系後期 (2017-2021)","前期型","ZS HV","2WD","CVT","4710","1735","1825","1610","基礎整合性検査済み","未照合","","未判定","あり","",""
"4347","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","S 2.0L","2WD","CVT","4740","1855","1660","1530","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4348","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","G 2.0L","2WD","CVT","4740","1855","1660","1570","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4349","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","G 2.0L","4WD","CVT","4740","1855","1660","1640","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4350","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","Z 2.0L","2WD","CVT","4740","1855","1660","1590","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4351","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","Z Leather Package 2.0L","4WD","CVT","4740","1855","1660","1660","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4352","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","G HV","2WD","CVT","4740","1855","1660","1620","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4353","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","G HV","4WD","CVT","4740","1855","1660","1680","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4354","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","Z HV","2WD","CVT","4740","1855","1660","1640","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4355","トヨタ","ハリアー","harrier","80系 (2020-)","現行型","Z PHEV","4WD","CVT","4740","1855","1660","1880","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"4356","トヨタ","ハリアー","harrier","60系 (2013-2020)","前期型","PREMIUM 2.0L","2WD","CVT","4725","1835","1690","1580","基礎整合性検査済み","未照合","","未判定","あり","",""
"4357","トヨタ","ハリアー","harrier","60系 (2013-2020)","前期型","PREMIUM 2.0L","4WD","CVT","4725","1835","1690","1640","基礎整合性検査済み","未照合","","未判定","あり","",""
"4358","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","X 2.0L","2WD","CVT","4600","1855","1685","1500","基礎整合性検査済み","未照合","","未判定","あり","",""
"4359","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","G 2.0L","4WD","CVT","4600","1855","1685","1570","基礎整合性検査済み","未照合","","未判定","あり","",""
"4360","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","Adventure 2.0L","4WD","CVT","4610","1865","1690","1630","基礎整合性検査済み","未照合","","未判定","あり","",""
"4361","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","G HV","2WD","CVT","4600","1855","1685","1590","基礎整合性検査済み","未照合","","未判定","あり","",""
"4362","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","G HV","4WD","CVT","4600","1855","1685","1640","基礎整合性検査済み","未照合","","未判定","あり","",""
"4363","トヨタ","RAV4","rav4","5代目 (2019-)","現行型","Adventure PHEV","4WD","CVT","4600","1855","1695","1900","基礎整合性検査済み","未照合","","未判定","あり","",""
"4364","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","X 1.0L","2WD","CVT","3940","1695","1500","940","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4365","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","G 1.5L","2WD","CVT","3940","1695","1500","1020","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4366","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","G 1.5L","4WD","CVT","3940","1695","1500","1060","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","誤り確認","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4367","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","Z 1.5L","2WD","CVT","3940","1695","1500","1050","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4368","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","Z HV","2WD","CVT","3940","1695","1500","1050","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4369","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","Z HV","4WD","CVT","3940","1695","1500","1110","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","誤り確認","あり","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"4370","トヨタ","ヤリス","yaris","初代 (2020-)","現行型","GR SPORT 1.5L","2WD","CVT","3940","1695","1500","1040","基礎整合性検査済み","未照合","","未判定","あり","",""
"4371","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","X 1.5L ガソリン","2WD","CVT","4180","1765","1590","1110","基礎整合性検査済み","未照合","","未判定","あり","",""
"4372","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","G 1.5L ガソリン","2WD","CVT","4180","1765","1590","1120","基礎整合性検査済み","未照合","","未判定","あり","",""
"4373","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","G 1.5L ガソリン","4WD","CVT","4180","1765","1590","1180","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm / 車両重量kg","誤り確認","あり","https://toyota.jp/ucar/catalog/brand-TOYOTA/car-YARIS_CROSS/202008/10130869/","2020年ガソリンG 4WD、登録1180kgとの差。"
"4374","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z 1.5L ガソリン","2WD","CVT","4180","1765","1590","1140","基礎整合性検査済み","未照合","","未判定","あり","",""
"4375","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z 1.5L ガソリン","4WD","CVT","4180","1765","1590","1200","基礎整合性検査済み","未照合","","未判定","あり","",""
"4376","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z Adventure 1.5L ガソリン","2WD","CVT","4200","1765","1590","1150","基礎整合性検査済み","未照合","","未判定","あり","",""
"4377","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z Adventure 1.5L ガソリン","4WD","CVT","4200","1765","1590","1210","基礎整合性検査済み","未照合","","未判定","あり","",""
"4378","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","G HV","2WD","CVT","4180","1765","1590","1160","基礎整合性検査済み","未照合","","未判定","あり","",""
"4379","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","G HV E-Four","4WD","CVT","4180","1765","1590","1250","基礎整合性検査済み","未照合","","未判定","あり","",""
"4380","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z HV","2WD","CVT","4180","1765","1590","1190","基礎整合性検査済み","未照合","","未判定","あり","",""
"4381","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","Z HV E-Four","4WD","CVT","4180","1765","1590","1260","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm / 車両重量kg","誤り確認","あり","https://toyota.jp/ucar/catalog/brand-TOYOTA/car-YARIS_CROSS/202008/10130861/","2020年HYBRID Z E-Four、登録1260kgとの差。"
"4382","トヨタ","ヤリスクロス","yaris-cross","初代 (2020-)","現行型","GR SPORT 1.5L HV","2WD","CVT","4185","1765","1580","1190","基礎整合性検査済み","未照合","","未判定","あり","",""
"4383","トヨタ","プリウス","prius","60系 5代目 (2023-)","現行型","G HV","2WD","CVT","4600","1780","1420","1360","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm","誤り確認","あり","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。 | G HEV 2WD標準は全高1,430mm・1,400kg。17インチ仕様は全高1,420mm・1,380kg。DB1,360kgはUの値で、Gのいずれのタイヤ仕様とも一致しない。"
"4384","トヨタ","プリウス","prius","60系 5代目 (2023-)","現行型","G HV","4WD","CVT","4600","1780","1420","1420","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm","誤り確認","あり","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。 | G HEV E-Four標準は全高1,430mm・1,460kg。17インチ仕様は全高1,420mm・1,440kg。DB1,420kgはUの値で、Gのいずれのタイヤ仕様とも一致しない。"
"4385","トヨタ","プリウス","prius","60系 5代目 (2023-)","現行型","Z HV","2WD","CVT","4600","1780","1430","1400","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm","条件注記不足","あり","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。 | Z HEV 2WD標準は全高1,430mm・1,420kg、17インチ仕様は1,420mm・1,400kg。DBは全高1,430mm・1,400kgでタイヤ条件が混在。"
"4386","トヨタ","プリウス","prius","60系 5代目 (2023-)","現行型","Z PHEV","2WD","CVT","4600","1780","1430","1570","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm / 車両重量kg","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。 | Z PHEV標準19インチ仕様。"
"4387","トヨタ","プリウス","prius","50系 4代目 (2015-2022)","前期型","S HV","2WD","CVT","4540","1760","1470","1360","基礎整合性検査済み","未照合","","未判定","あり","",""
"4388","トヨタ","プリウス","prius","50系 4代目 (2015-2022)","前期型","S HV","4WD","CVT","4540","1760","1470","1410","基礎整合性検査済み","未照合","","未判定","あり","",""
"4389","トヨタ","プリウス","prius","50系 4代目 (2015-2022)","前期型","A HV","2WD","CVT","4540","1760","1470","1380","基礎整合性検査済み","未照合","","未判定","あり","",""
"4390","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","GX 3.5L ガソリン","4WD","10AT","4950","1980","1925","2350","基礎整合性検査済み","未照合","","未判定","あり","",""
"4391","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","AX 3.5L ガソリン","4WD","10AT","4950","1980","1925","2430","基礎整合性検査済み","未照合","","未判定","あり","",""
"4392","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","VX 3.5L ガソリン","4WD","10AT","4985","1980","1925","2480","基礎整合性検査済み","未照合","","未判定","あり","",""
"4393","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","ZX 3.5L ガソリン","4WD","10AT","4985","1980","1925","2550","基礎整合性検査済み","未照合","","未判定","あり","",""
"4394","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","GR SPORT 3.3L ディーゼル","4WD","10AT","4965","1990","1925","2560","基礎整合性検査済み","未照合","","未判定","あり","",""
"4395","トヨタ","ランドクルーザー300","land-cruiser-300","300系 (2021-)","現行型","ZX 3.3L ディーゼル","4WD","10AT","4985","1980","1925","2530","基礎整合性検査済み","未照合","","未判定","あり","",""
"4396","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","ベースグレード","2WD","CVT","3395","1475","1790","910","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4397","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","ベースグレード","4WD","CVT","3395","1475","1815","960","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm / 車両重量kg","誤り確認","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf","2024年9月のベースグレード4WD。"
"4398","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","ファッションスタイル","2WD","CVT","3395","1475","1790","920","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4399","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","ファッションスタイル","4WD","CVT","3395","1475","1815","970","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4400","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom ベースグレード","2WD","CVT","3395","1475","1790","920","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4401","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom ベースグレード","4WD","CVT","3395","1475","1815","980","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4402","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom ターボ","2WD","CVT","3395","1475","1790","940","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4403","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom ターボ","4WD","CVT","3395","1475","1815","990","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm / 車両重量kg","誤り確認","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf","2024年9月CUSTOMターボ4WD。"
"4404","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom コーディネートスタイル","2WD","CVT","3395","1475","1790","920","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4405","ホンダ","N-BOX","n-box","3代目 JF5/JF6 (2023-)","現行型","Custom コーディネートスタイル","4WD","CVT","3395","1475","1815","980","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"4406","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","G","2WD","CVT","3395","1475","1790","890","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4407","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","G","4WD","CVT","3395","1475","1815","950","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4408","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","L","2WD","CVT","3395","1475","1790","900","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4409","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","L","4WD","CVT","3395","1475","1815","960","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4410","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","EX","2WD","CVT","3395","1475","1790","900","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4411","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","EX","4WD","CVT","3395","1475","1815","960","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4412","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom L","2WD","CVT","3395","1475","1790","910","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4413","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom L","4WD","CVT","3395","1475","1815","970","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4414","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom L ターボ","2WD","CVT","3395","1475","1790","920","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4415","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom L ターボ","4WD","CVT","3395","1475","1815","980","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4416","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom EX ターボ","2WD","CVT","3395","1475","1790","930","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4417","ホンダ","N-BOX","n-box","2代目 JF3/JF4 (2017-2023)","前期型","Custom EX ターボ","4WD","CVT","3395","1475","1815","990","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"4418","ホンダ","フリード","freed","3代目 (2024-)","現行型","AIR","2WD","CVT","4310","1695","1755","1370","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
