maker,model,slug,registered_rows,reviewed_rows,unreviewed_rows,findings,related_articles
"マツダ","CX-5","cx-5","8","8","0","照合項目に不一致なし・未照合項目あり得る","content/cars/corolla-cross-mechanical-parking-guide.mdx | content/cars/cx5-mechanical-parking-guide.mdx | content/cars/forester-mechanical-parking-guide.mdx | content/cars/harrier.mdx | content/cars/rav4-mechanical-parking-guide.mdx | content/cars/vezel-mechanical-parking-guide.mdx | content/cars/yaris-cross-mechanical-parking-guide.mdx | content/compare/cx5-vs-forester.mdx | content/compare/harrier-vs-cx5.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"マツダ","CX-60","cx-60","7","7","0","照合項目に不一致なし・未照合項目あり得る","content/cars/cx60-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"スバル","フォレスター","forester","9","4","5","世代・グレード不整合","content/cars/crosstrek-mechanical-parking-guide.mdx | content/cars/forester-mechanical-parking-guide.mdx | content/compare/cx5-vs-forester.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"レクサス","RX","rx","11","0","11","メーカー資料未照合","content/cars/lexus-rx-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"レクサス","NX","nx","9","6","3","誤り確認 / 条件注記不足","content/cars/lexus-nx-mechanical-parking-guide.mdx | content/cars/lexus-rx-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"BMW","X3","x3","6","2","4","誤り確認 / 仕様特定必要","content/size-guide/width-1850.mdx"
"BMW","3シリーズ","3-series","5","0","5","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","GLC","glc","7","0","7","メーカー資料未照合",""
"アウディ","Q5","q5","4","0","4","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ボルボ","XC60","xc60","4","0","4","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","ヴェルファイア","vellfire","7","4","3","照合項目に不一致なし・未照合項目あり得る","content/cars/vellfire-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ノア","noah","5","5","0","照合項目に不一致なし・未照合項目あり得る","content/cars/noah-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","シエンタ","sienta","4","4","0","照合項目に不一致なし・未照合項目あり得る","content/cars/sienta-mechanical-parking-guide.mdx | content/compare/freed-vs-sienta.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","クラウン セダン","crown-sedan","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","クラウン スポーツ","crown-sport","2","0","2","メーカー資料未照合","content/cars/crown-sport-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","クラウン クロスオーバー","crown-crossover","3","0","3","メーカー資料未照合","content/cars/crown-crossover-mechanical-parking-guide.mdx | content/cars/crown-sport-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","bZ4X","bz4x","2","0","2","メーカー資料未照合","content/cars/bz4x-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ランドクルーザー250","land-cruiser-250","3","0","3","メーカー資料未照合","content/cars/land-cruiser-fj-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ランドクルーザープラド","land-cruiser-prado","3","0","3","メーカー資料未照合","content/cars/land-cruiser-prado-mechanical-parking-guide.mdx | content/compare/land-cruiser-300-vs-prado.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"レクサス","UX","ux","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"レクサス","LX","lx","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ホンダ","CR-V","cr-v","2","2","0","世代・グレード不整合","content/cars/cr-v-mechanical-parking-guide.mdx | content/cars/zr-v-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"ホンダ","ZR-V","zr-v","4","4","0","照合項目に不一致なし・未照合項目あり得る","content/cars/zr-v-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"ホンダ","ステップワゴン","stepwgn","6","6","0","照合項目に不一致なし・未照合項目あり得る","content/cars/delica-d5-mechanical-parking-guide.mdx | content/cars/stepwgn-mechanical-parking-guide.mdx | content/compare/serena-vs-stepwgn.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"ホンダ","オデッセイ","odyssey","2","2","0","照合項目に不一致なし・未照合項目あり得る","content/size-guide/width-1850.mdx"
"ホンダ","ヴェゼル","vezel","4","4","0","照合項目に不一致なし・未照合項目あり得る","content/cars/kicks-mechanical-parking-guide.mdx | content/cars/vezel-mechanical-parking-guide.mdx | content/cars/zr-v-mechanical-parking-guide.mdx | content/compare/corolla-cross-vs-vezel.mdx | content/compare/yaris-cross-vs-vezel.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/height-1550.mdx | content/size-guide/width-1850.mdx"
"ホンダ","WR-V","wr-v","2","2","0","照合項目に不一致なし・未照合項目あり得る","content/cars/wr-v-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"日産","エクストレイル","x-trail","3","0","3","メーカー資料未照合","content/cars/x-trail-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"日産","アリア","ariya","3","0","3","メーカー資料未照合","content/cars/ariya-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"日産","キックス","kicks","2","0","2","メーカー資料未照合","content/cars/kicks-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"日産","サクラ","sakura","2","0","2","メーカー資料未照合","content/cars/sakura-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"マツダ","CX-80","cx-80","4","4","0","照合項目に不一致なし・未照合項目あり得る","content/size-guide/width-1850.mdx"
"マツダ","CX-3","cx-3","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"マツダ","CX-30","cx-30","4","0","4","メーカー資料未照合","content/cars/cx30-mechanical-parking-guide.mdx | content/cars/kicks-mechanical-parking-guide.mdx | content/cars/lexus-lbx-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/knowledge/width-limit-guide.mdx | content/size-guide/width-1850.mdx"
"三菱","デリカD:5","delica-d5","3","0","3","メーカー資料未照合","content/cars/delica-d5-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"三菱","アウトランダー","outlander","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"三菱","エクリプス クロス","eclipse-cross","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スバル","レガシィ アウトバック","outback","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スバル","クロストレック","crosstrek","2","2","0","条件注記不足","content/cars/crosstrek-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"スズキ","ジムニー","jimny","2","2","0","誤り確認 / 条件注記不足","content/cars/jimny-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"スズキ","ジムニーシエラ","jimny-sierra","2","2","0","照合項目に不一致なし・未照合項目あり得る","content/cars/jimny-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"スズキ","ソリオ","solio","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ダイハツ","ロッキー","rocky","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"テスラ","Model Y","model-y","2","0","2","メーカー資料未照合","content/cars/model-y-mechanical-parking-guide.mdx | content/cars/model-yl-mechanical-parking-guide.mdx | content/knowledge/ev-mechanical-parking.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"テスラ","Model 3","model-3","2","0","2","メーカー資料未照合","content/knowledge/ev-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"テスラ","Model X","model-x","2","0","2","メーカー資料未照合",""
"メルセデス・ベンツ","Gクラス","g-class","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","GLS","gls","1","0","1","メーカー資料未照合",""
"BMW","X5","x5","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BMW","X7","x7","1","0","1","メーカー資料未照合",""
"アウディ","Q3","q3","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アウディ","Q7","q7","1","0","1","メーカー資料未照合",""
"ポルシェ","カイエン","cayenne","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ポルシェ","マカン","macan","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ランボルギーニ","ウルス","urus","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ロールス・ロイス","カリナン","cullinan","1","0","1","メーカー資料未照合",""
"フェラーリ","プロサングエ","purosangue","1","1","0","重量種別不適切",""
"ボルボ","XC90","xc90","2","0","2","メーカー資料未照合",""
"ベントレー","ベンテイガ","bentayga","7","0","7","メーカー資料未照合",""
"ベントレー","ベンテイガ EWB","bentayga-ewb","2","0","2","メーカー資料未照合",""
"ランボルギーニ","アヴェンタドール","aventador","1","0","1","メーカー資料未照合",""
"ランボルギーニ","レヴエルト","revuelto","1","1","0","重量種別不適切",""
"ランボルギーニ","ウラカン","huracan","4","1","3","重量種別不適切",""
"ランボルギーニ","テメラリオ","temerario","1","1","0","重量種別不適切",""
"ポルシェ","911","911","7","0","7","メーカー資料未照合",""
"フェラーリ","458イタリア","458-italia","3","0","3","メーカー資料未照合",""
"フェラーリ","488","488","3","1","2","重量種別不適切",""
"フェラーリ","F8トリブート","f8-tributo","2","0","2","メーカー資料未照合",""
"フェラーリ","296 GTB","296-gtb","2","0","2","メーカー資料未照合",""
"フェラーリ","ローマ","roma","1","0","1","メーカー資料未照合",""
"フェラーリ","12チリンドリ","12-cilindri","1","1","0","重量種別不適切",""
"アストンマーティン","DBX","dbx","2","0","2","メーカー資料未照合",""
"ランドローバー","レンジローバー","range-rover","4","0","4","メーカー資料未照合","content/cars/range-rover-mechanical-parking-guide.mdx | content/knowledge/width-limit-guide.mdx"
"ランドローバー","ディフェンダー","defender","5","0","5","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ランドローバー","レンジローバースポーツ","range-rover-sport","3","0","3","メーカー資料未照合",""
"ランドローバー","レンジローバーイヴォーク","range-rover-evoque","3","0","3","メーカー資料未照合",""
"ランドローバー","レンジローバーヴェラール","range-rover-velar","3","0","3","メーカー資料未照合",""
"Jeep","ラングラー","wrangler","4","0","4","メーカー資料未照合",""
"Jeep","グランドチェロキー","grand-cherokee","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"Jeep","グランドチェロキーL","grand-cherokee-l","2","0","2","メーカー資料未照合",""
"日産","GT-R","gt-r","4","0","4","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","センチュリー","century","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"三菱","デリカミニ","delica-mini","5","0","5","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スズキ","フロンクス","fronx","2","0","2","メーカー資料未照合","content/cars/fronx-mechanical-parking-guide.mdx | content/cars/wr-v-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"レクサス","LM","lm","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"レクサス","LBX","lbx","3","0","3","メーカー資料未照合","content/cars/lexus-lbx-mechanical-parking-guide.mdx | content/cars/lexus-rx-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"レクサス","GX","gx","2","0","2","メーカー資料未照合",""
"レクサス","RZ","rz","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"レクサス","IS 500","is-500","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","ハイラックス","hilux","2","0","2","メーカー資料未照合","content/cars/hilux-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"ホンダ","S2000","s2000","2","0","2","メーカー資料未照合",""
"トヨタ","スープラ","supra","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"日産","シルビア","silvia","2","0","2","メーカー資料未照合",""
"メルセデス・ベンツ","Sクラス","s-class","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","Cクラス","c-class","4","0","4","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","Vクラス","v-class","2","0","2","メーカー資料未照合",""
"メルセデス・ベンツ","AMG GT","amg-gt","2","0","2","メーカー資料未照合",""
"BMW","i8","i8","2","0","2","メーカー資料未照合",""
"BMW","M3","m3","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ポルシェ","タイカン","taycan","4","0","4","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アウディ","A4","a4","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アウディ","R8","r8","2","0","2","メーカー資料未照合",""
"BYD","ATTO 3","atto-3","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BYD","ドルフィン","dolphin","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BYD","シール","seal","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"シボレー","コルベット","corvette","2","0","2","メーカー資料未照合",""
"フォルクスワーゲン","ゴルフ","golf","3","0","3","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"フォルクスワーゲン","T-Roc","t-roc","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"フォルクスワーゲン","ID.4","id4","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"マクラーレン","720S","720s","2","0","2","メーカー資料未照合",""
"ルノー","カングー","kangoo","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"フィアット","500","500","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アバルト","595","595","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アルピーヌ","A110","a110","3","0","3","メーカー資料未照合",""
"ロータス","エミーラ","emira","2","0","2","メーカー資料未照合",""
"マセラティ","グレカーレ","grecale","3","0","3","メーカー資料未照合",""
"ヒョンデ","IONIQ 5","ioniq-5","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ボルボ","EX30","ex30","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","グランエース","granace","2","0","2","メーカー資料未照合",""
"トヨタ","ランドクルーザー70","land-cruiser-70","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","クラウン エステート","crown-estate","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"トヨタ","ライズ","raize","3","0","3","メーカー資料未照合","content/cars/raize-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ルーミー","roomy","3","0","3","メーカー資料未照合","content/cars/roomy-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","カローラ","corolla","2","0","2","メーカー資料未照合","content/cars/corolla-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","カローラ ツーリング","corolla-touring","2","0","2","メーカー資料未照合","content/cars/corolla-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","カローラ クロス","corolla-cross","3","0","3","メーカー資料未照合","content/cars/corolla-cross-mechanical-parking-guide.mdx | content/cars/raize-mechanical-parking-guide.mdx | content/compare/corolla-cross-vs-vezel.mdx | content/size-guide/width-1850.mdx"
"トヨタ","カローラ スポーツ","corolla-sport","2","0","2","メーカー資料未照合","content/cars/corolla-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","GRヤリス","gr-yaris","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"日産","エルグランド","elgrand","4","0","4","メーカー資料未照合","content/size-guide/width-1850.mdx"
"日産","ノート","note","2","0","2","メーカー資料未照合","content/cars/note-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"日産","ノート オーラ","note-aura","3","0","3","メーカー資料未照合","content/cars/note-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"日産","ルークス","roox","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ホンダ","フィット","fit","4","4","0","誤り確認","content/cars/fit-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"ホンダ","シビック","civic","2","2","0","誤り確認","content/size-guide/width-1850.mdx"
"ホンダ","シビック タイプR","civic-type-r","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スバル","レヴォーグ","levorg","3","0","3","メーカー資料未照合","content/cars/levorg-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"スバル","レヴォーグ レイバック","levorg-layback","1","1","0","照合項目に不一致なし・未照合項目あり得る","content/size-guide/width-1850.mdx"
"マツダ","MAZDA2","mazda2","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"マツダ","MAZDA3 ファストバック","mazda3-fastback","3","0","3","メーカー資料未照合","content/cars/mazda3-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"マツダ","MAZDA3 セダン","mazda3-sedan","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スズキ","スペーシア","spacia","3","1","2","世代・グレード不整合","content/cars/spacia-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"スズキ","ハスラー","hustler","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スズキ","ワゴンR","wagon-r","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"スズキ","アルト","alto","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ダイハツ","タント","tanto","3","0","3","メーカー資料未照合","content/cars/tanto-mechanical-parking-guide.mdx | content/compare/n-box-vs-tanto.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"ダイハツ","ムーヴ","move","2","2","0","誤り確認","content/size-guide/width-1850.mdx"
"ダイハツ","タフト","taft","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","GLE","gle","2","0","2","メーカー資料未照合",""
"メルセデス・ベンツ","GLE クーペ","gle-coupe","1","0","1","メーカー資料未照合",""
"メルセデス・ベンツ","EQS SUV","eqs-suv","1","0","1","メーカー資料未照合",""
"メルセデス・ベンツ","EQE SUV","eqe-suv","1","0","1","メーカー資料未照合",""
"メルセデス・ベンツ","Eクラス","e-class","3","0","3","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","Aクラス","a-class","1","0","1","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","Bクラス","b-class","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","GLA","gla","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"メルセデス・ベンツ","GLB","glb","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BMW","7シリーズ","7-series","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BMW","X6","x6","2","0","2","メーカー資料未照合",""
"BMW","iX","ix","2","0","2","メーカー資料未照合",""
"BMW","X1","x1","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BMW","1シリーズ","1-series","2","0","2","メーカー資料未照合","content/cars/bmw-1-series-mechanical-parking-guide.mdx | content/cars/lexus-lbx-mechanical-parking-guide.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"BMW","2シリーズ グランクーペ","2-series-gran-coupe","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"BMW","2シリーズ アクティブツアラー","2-series-active-tourer","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アウディ","Q8","q8","1","0","1","メーカー資料未照合",""
"アウディ","Q8 e-tron","q8-e-tron","2","0","2","メーカー資料未照合",""
"アウディ","A8","a8","2","0","2","メーカー資料未照合",""
"アウディ","e-tron GT","e-tron-gt","2","0","2","メーカー資料未照合",""
"アウディ","A3","a3","2","0","2","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"キャデラック","エスカレード","escalade","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"レクサス","LS","ls","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"レクサス","ES","es","2","0","2","メーカー資料未照合","content/cars/lexus-es-mechanical-parking-guide.mdx | content/cars/lexus-rx-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"マセラティ","レヴァンテ","levante","2","0","2","メーカー資料未照合",""
"ランボルギーニ","ウルス SE","urus-se","1","0","1","メーカー資料未照合",""
"フォルクスワーゲン","ティグアン","tiguan","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"フォルクスワーゲン","ポロ","polo","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"フォルクスワーゲン","T-Cross","t-cross","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"フォルクスワーゲン","パサート","passat","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ボルボ","XC40","xc40","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ボルボ","V60","v60","2","0","2","メーカー資料未照合",""
"ボルボ","V60 クロスカントリー","v60-cross-country","1","0","1","メーカー資料未照合",""
"プジョー","208","208","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"プジョー","2008","2008","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"プジョー","308","308","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"プジョー","3008","3008","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"シトロエン","C3","c3","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ルノー","ルーテシア","lutecia","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ルノー","キャプチャー","captur","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ルノー","アルカナ","arkana","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"アルファロメオ","トナーレ","tonale","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"ヒョンデ","コナ","kona","1","0","1","メーカー資料未照合","content/size-guide/width-1850.mdx"
"MINI","MINI 3ドア","mini-3door","2","0","2","メーカー資料未照合","content/size-guide/import-car-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"MINI","MINI 5ドア","mini-5door","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"MINI","MINI カントリーマン","mini-countryman","2","0","2","メーカー資料未照合","content/size-guide/width-1850.mdx"
"MINI","MINI エースマン","mini-aceman","3","0","3","メーカー資料未照合",""
"MINI","MINI コンバーチブル","mini-convertible","2","0","2","メーカー資料未照合",""
"MINI","MINI クラブマン","mini-clubman","4","0","4","メーカー資料未照合",""
"ランドローバー","ディスカバリー","discovery","1","0","1","メーカー資料未照合",""
"ランドローバー","ディスカバリースポーツ","discovery-sport","5","0","5","メーカー資料未照合",""
"ジャガー","Fペイス","f-pace","5","0","5","メーカー資料未照合",""
