check_id,dimension_id,maker,model,generation,trim,drive,transmission,status,checked_values,differences,source,note
"11","4401","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom ベースグレード","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"12","4402","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom ターボ","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"13","4403","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom ターボ","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"14","4404","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom コーディネートスタイル","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"15","4405","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom コーディネートスタイル","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"16","4406","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","G","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"17","4407","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","G","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"18","4408","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","L","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"19","4409","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","L","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"20","4410","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","EX","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"21","4411","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","EX","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"22","4412","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom L","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"23","4413","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom L","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"24","4414","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom L ターボ","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"25","4415","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom L ターボ","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"26","4416","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom EX ターボ","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"27","4417","ホンダ","N-BOX","2代目 JF3/JF4 (2017-2023)","Custom EX ターボ","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/auto-archive/nbox/2023/common/pdf/nbox_spec_list.pdf",""
"28","4397","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","ベースグレード","4WD","CVT","誤り確認","車両重量kg=980","車両重量kg: 960 -> 980","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf","2024年9月のベースグレード4WD。"
"29","4403","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom ターボ","4WD","CVT","誤り確認","車両重量kg=1000","車両重量kg: 990 -> 1000","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf","2024年9月CUSTOMターボ4WD。"
"30","4418","ホンダ","フリード","3代目 (2024-)","AIR","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"31","4419","ホンダ","フリード","3代目 (2024-)","AIR","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"32","4420","ホンダ","フリード","3代目 (2024-)","AIR EX","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"33","4421","ホンダ","フリード","3代目 (2024-)","AIR EX","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"34","4422","ホンダ","フリード","3代目 (2024-)","CROSSTAR","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1720 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"35","4423","ホンダ","フリード","3代目 (2024-)","CROSSTAR","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1720 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"36","4424","ホンダ","フリード","3代目 (2024-)","e:HEV AIR","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"37","4425","ホンダ","フリード","3代目 (2024-)","e:HEV AIR","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"38","4426","ホンダ","フリード","3代目 (2024-)","e:HEV AIR EX","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"39","4427","ホンダ","フリード","3代目 (2024-)","e:HEV AIR EX","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1695 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"40","4428","ホンダ","フリード","3代目 (2024-)","e:HEV CROSSTAR","2WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1720 / 全高mm=1755","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"41","4429","ホンダ","フリード","3代目 (2024-)","e:HEV CROSSTAR","4WD","CVT","照合項目一致","全長mm=4310 / 全幅mm=1720 / 全高mm=1780","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf",""
"42","4424","ホンダ","フリード","3代目 (2024-)","e:HEV AIR","2WD","CVT","誤り確認","車両重量kg=1460","車両重量kg: 1410 -> 1460","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV AIR FF 6人乗り、2024年6月発売時。"
"43","4425","ホンダ","フリード","3代目 (2024-)","e:HEV AIR","4WD","CVT","誤り確認","車両重量kg=1550","車両重量kg: 1490 -> 1550","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV AIR 4WD 6人乗り、2024年6月発売時。"
"44","4426","ホンダ","フリード","3代目 (2024-)","e:HEV AIR EX","2WD","CVT","誤り確認","車両重量kg=1480","車両重量kg: 1420 -> 1480","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV AIR EX FF、6/7人とも1480kg。"
"45","4427","ホンダ","フリード","3代目 (2024-)","e:HEV AIR EX","4WD","CVT","誤り確認","車両重量kg=1560","車両重量kg: 1500 -> 1560","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV AIR EX 4WD 6人乗り。"
"46","4430","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","G (7人)","2WD","CVT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"47","4431","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","G (6人)","2WD","CVT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"48","4432","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","G (6人)","4WD","CVT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1735","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"49","4433","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","CROSSTAR (6人)","2WD","CVT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"50","4434","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","CROSSTAR (6人)","4WD","CVT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1735","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"51","4435","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","HYBRID G (7人)","2WD","7DCT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"52","4436","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","HYBRID G (6人)","2WD","7DCT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"53","4437","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","HYBRID G (6人)","4WD","7DCT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1735","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"54","4438","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","HYBRID CROSSTAR (6人)","2WD","7DCT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1710","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"55","4439","ホンダ","フリード","2代目 GB5/6/7/8 (2016-2024)","HYBRID CROSSTAR (6人)","4WD","7DCT","照合項目一致","全長mm=4265 / 全幅mm=1695 / 全高mm=1735","","https://www.honda.co.jp/auto-archive/freed/2024/common/pdf/freed_spec_list.pdf",""
"56","4440","日産","セレナ","C28型 (2022-)","X","2WD","CVT","照合項目一致","全長mm=4690 / 全幅mm=1695 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"57","4441","日産","セレナ","C28型 (2022-)","X","4WD","CVT","誤り確認","全長mm=4690 / 全幅mm=1695 / 全高mm=1895","全高mm: 1870 -> 1895","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"58","4442","日産","セレナ","C28型 (2022-)","XV","2WD","CVT","照合項目一致","全長mm=4690 / 全幅mm=1695 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"59","4443","日産","セレナ","C28型 (2022-)","XV","4WD","CVT","誤り確認","全長mm=4690 / 全幅mm=1695 / 全高mm=1895","全高mm: 1870 -> 1895","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"60","4444","日産","セレナ","C28型 (2022-)","ハイウェイスターV","2WD","CVT","照合項目一致","全長mm=4765 / 全幅mm=1715 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"61","4445","日産","セレナ","C28型 (2022-)","ハイウェイスターV","4WD","CVT","誤り確認","全長mm=4765 / 全幅mm=1715 / 全高mm=1895","全高mm: 1870 -> 1895","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"62","4446","日産","セレナ","C28型 (2022-)","e-POWER X","2WD","e-POWER","照合項目一致","全長mm=4690 / 全幅mm=1695 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"63","4447","日産","セレナ","C28型 (2022-)","e-POWER XV","2WD","e-POWER","照合項目一致","全長mm=4690 / 全幅mm=1695 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"64","4448","日産","セレナ","C28型 (2022-)","e-POWER ハイウェイスターV","2WD","e-POWER","照合項目一致","全長mm=4765 / 全幅mm=1715 / 全高mm=1870","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"65","4449","日産","セレナ","C28型 (2022-)","e-POWER LUXION","2WD","e-POWER","照合項目一致","全長mm=4765 / 全幅mm=1715 / 全高mm=1885","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf",""
"66","4440","日産","セレナ","C28型 (2022-)","X","2WD","CVT","照合項目一致","車両重量kg=1670","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"67","4441","日産","セレナ","C28型 (2022-)","X","4WD","CVT","誤り確認","車両重量kg=1780","車両重量kg: 1740 -> 1780","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"68","4442","日産","セレナ","C28型 (2022-)","XV","2WD","CVT","照合項目一致","車両重量kg=1680","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"69","4443","日産","セレナ","C28型 (2022-)","XV","4WD","CVT","誤り確認","車両重量kg=1790","車両重量kg: 1750 -> 1790","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"70","4444","日産","セレナ","C28型 (2022-)","ハイウェイスターV","2WD","CVT","照合項目一致","車両重量kg=1690","","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"71","4445","日産","セレナ","C28型 (2022-)","ハイウェイスターV","4WD","CVT","誤り確認","車両重量kg=1790","車両重量kg: 1760 -> 1790","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"72","4446","日産","セレナ","C28型 (2022-)","e-POWER X","2WD","e-POWER","誤り確認","車両重量kg=1790","車両重量kg: 1760 -> 1790","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"73","4447","日産","セレナ","C28型 (2022-)","e-POWER XV","2WD","e-POWER","誤り確認","車両重量kg=1810","車両重量kg: 1770 -> 1810","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"74","4448","日産","セレナ","C28型 (2022-)","e-POWER ハイウェイスターV","2WD","e-POWER","誤り確認","車両重量kg=1810","車両重量kg: 1790 -> 1810","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"75","4449","日産","セレナ","C28型 (2022-)","e-POWER LUXION","2WD","e-POWER","誤り確認","車両重量kg=1850","車両重量kg: 1810 -> 1850","https://history.nissan.co.jp/ARCHIVES/PDF/SERENA/C28/20221128/serena_specsheet.pdf","C28発売期公式表、標準車両重量。"
"76","4458","マツダ","CX-5","2代目 (2017-)","20S","2WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"77","4459","マツダ","CX-5","2代目 (2017-)","20S","4WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"78","4460","マツダ","CX-5","2代目 (2017-)","25S L Package","2WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"79","4461","マツダ","CX-5","2代目 (2017-)","25S L Package","4WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"80","4462","マツダ","CX-5","2代目 (2017-)","XD","2WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"81","4463","マツダ","CX-5","2代目 (2017-)","XD L Package","2WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"82","4464","マツダ","CX-5","2代目 (2017-)","XD L Package","4WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"83","4465","マツダ","CX-5","2代目 (2017-)","XD Exclusive Mode","4WD","6AT","照合項目一致","全長mm=4545 / 全幅mm=1840 / 全高mm=1690","","https://newsroom.mazda.com/ja/publicity/release/2018/201802/180208aa.pdf","2018年前期の寸法と一致。2025年版は4575×1845×1690。全行の重量・グレード設定が同じ年式とは限らない。"
"84","4493","レクサス","NX","2代目 (2021-)","NX250","2WD","8AT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"85","4494","レクサス","NX","2代目 (2021-)","NX250","AWD","8AT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"86","4495","レクサス","NX","2代目 (2021-)","NX350h","2WD","CVT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"87","4496","レクサス","NX","2代目 (2021-)","NX350h","AWD","CVT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"88","4497","レクサス","NX","2代目 (2021-)","NX350","AWD","8AT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"89","4498","レクサス","NX","2代目 (2021-)","NX450h+ PHEV","AWD","CVT","照合項目一致","全長mm=4660 / 全幅mm=1865 / 全高mm=1660","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf",""
"90","4493","レクサス","NX","2代目 (2021-)","NX250","2WD","8AT","照合項目一致","車両重量kg=1620","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","2021年10月標準装備、NX350はF SPORT。NX350は18インチ選択時1760kgでも登録1740kgとは一致しない。"
"91","4494","レクサス","NX","2代目 (2021-)","NX250","AWD","8AT","照合項目一致","車両重量kg=1680","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","2021年10月標準装備、NX350はF SPORT。NX350は18インチ選択時1760kgでも登録1740kgとは一致しない。"
"92","4495","レクサス","NX","2代目 (2021-)","NX350h","2WD","CVT","誤り確認","車両重量kg=1730","車両重量kg: 1720 -> 1730","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","2021年10月標準装備、NX350はF SPORT。NX350は18インチ選択時1760kgでも登録1740kgとは一致しない。"
"93","4496","レクサス","NX","2代目 (2021-)","NX350h","AWD","CVT","照合項目一致","車両重量kg=1790","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","2021年10月標準装備、NX350はF SPORT。NX350は18インチ選択時1760kgでも登録1740kgとは一致しない。"
"94","4497","レクサス","NX","2代目 (2021-)","NX350","AWD","8AT","誤り確認","車両重量kg=1780","車両重量kg: 1740 -> 1780","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","2021年10月標準装備、NX350はF SPORT。NX350は18インチ選択時1760kgでも登録1740kgとは一致しない。"
"95","4502","BMW","X3","G45 (2024-)","xDrive20d","AWD","8AT","誤り確認","全長mm=4755 / 全幅mm=1920 / 全高mm=1660 / 車両重量kg=1930","車両重量kg: 1965 -> 1930","https://www.bmw.co.jp/content/dam/bmw/marketJP/bmw_co_jp/pdf/all-models/X/X3/X3_EPL_202504V1.pdf","日本仕様20d xDrive M Sportの標準1930kg（サンルーフ1950kg）。DBは旧称xDrive20d。グレード名も整理が必要。"
"96","4503","BMW","X3","G45 (2024-)","xDrive30e PHEV","AWD","8AT","照合項目一致","全長mm=4755 / 全幅mm=1920 / 全高mm=1660","","https://www.bmw.co.jp/content/dam/bmw/marketJP/bmw_co_jp/pdf/all-models/X/X3/X3_EPL_202504V1.pdf","寸法のみ照合。30eの日本仕様・導入年は別途確認が必要。"
"97","4564","ホンダ","CR-V","6代目 (2024-)","e:HEV RS","2WD","CVT","照合項目一致","全長mm=4700 / 全幅mm=1865 / 全高mm=1680 / 車両重量kg=1750","","https://www.honda.co.jp/CR-V/common/pdf/cr-v_spec_list.pdf?from=car_footer","数値は2026年2月の国内e:HEV RSと一致。登録世代名の2024年は国内e:HEVの販売時期と一致しない。"
"98","4565","ホンダ","CR-V","6代目 (2024-)","e:HEV RS","4WD","CVT","照合項目一致","全長mm=4700 / 全幅mm=1865 / 全高mm=1690 / 車両重量kg=1800","","https://www.honda.co.jp/CR-V/common/pdf/cr-v_spec_list.pdf?from=car_footer","数値は2026年2月の国内e:HEV RSと一致。登録世代名の2024年は国内e:HEVの販売時期と一致しない。"
"99","4576","ホンダ","オデッセイ","5代目 RC系 (2023-)","e:HEV ABSOLUTE","2WD","CVT","照合項目一致","全長mm=4860 / 全幅mm=1820 / 全高mm=1695 / 車両重量kg=1920","","https://www.honda.co.jp/ODYSSEY/common/pdf/odyssey_spec_list.pdf",""
"100","4577","ホンダ","オデッセイ","5代目 RC系 (2023-)","e:HEV ABSOLUTE EX","2WD","CVT","照合項目一致","全長mm=4860 / 全幅mm=1820 / 全高mm=1695 / 車両重量kg=1950","","https://www.honda.co.jp/ODYSSEY/common/pdf/odyssey_spec_list.pdf",""
